KOL,Date,Coin
milesdeutscher1357,2025_01_18,A6Z
milesdeutscher1357,2025_01_18,AIX
milesdeutscher1357,2025_01_18,AON
milesdeutscher1357,2025_01_18,LMT
AltcoinDaily,2025_01_20,Trump Coin
AltcoinDaily,2025_01_20,Ethereum
CryptoBanterGroup,2025_03_23,Solana
CryptoBanterGroup,2025_03_23,XRP
elliotrades_official,2025_01_20,bitcoin
elliotrades_official,2025_01_20,ethereum
elliotrades_official,2025_01_20,salana
elliotrades_official,2025_01_20,chainlink
elliotrades_official,2025_01_20,avalanche
elliotrades_official,2025_01_20,xrp
elliotrades_official,2025_01_20,litecoin
KyleChasseCrypto,2025_01_20,TrumpCoin
KyleChasseCrypto,2025_01_20,Solana
KyleChasseCrypto,2025_01_20,Radium
KyleChasseCrypto,2025_01_20,Jupiter
KyleChasseCrypto,2025_01_20,fcoin
KyleChasseCrypto,2025_01_20,Moonshot
KyleChasseCrypto,2025_01_20,AI 16z
KyleChasseCrypto,2025_01_20,Kira
KyleChasseCrypto,2025_01_20,Griffin
